R,a0,a2,a4,b3,b5,E
0.8,0.25,0.00506659,-0.00337196,-0.00164371,0.0281847,309.333
0.8,0.26,-0.012621,-0.00195649,-0.000378286,0.0199652,211.165
0.8,0.27,-0.0286796,0.000189584,-0.00124978,0.00901846,137.678
0.8,0.28,-0.0314037,0.00171101,-0.00201111,0.000212501,118.436
0.8,0.29,-0.0309967,0.0016095,-0.00205708,0.0002055,115.715
0.8,0.3,-0.0304366,0.00149824,-0.00209133,0.000195961,113.228
0.8,0.31,-0.0297188,0.00137803,-0.00211258,0.000183826,110.953
0.8,0.32,-0.0288387,0.0012498,-0.00211953,0.000169058,108.869
0.8,0.33,-0.0277917,0.00111453,-0.00211078,0.000151647,106.961
0.8,0.34,-0.0265728,0.00097335,-0.00208491,0.000131615,105.214
0.8,0.35,-0.0251772,0.000827484,-0.00204042,0.000109011,103.614
0.8,0.36,-0.0235999,0.00067827,-0.00197573,8.39247e-05,102.149
0.8,0.37,-0.0218358,0.000527172,-0.00188919,5.64826e-05,100.81
0.8,0.38,-0.0198796,0.000375777,-0.00177905,2.68569e-05,99.5867
0.8,0.39,-0.0177259,0.000225812,-0.00164349,-4.73025e-06,98.471
0.8,0.4,-0.0153691,7.91437e-05,-0.00148056,-3.80006e-05,97.4554
0.8,0.41,-0.0128035,-6.22033e-05,-0.0012882,-7.26123e-05,96.5332
0.8,0.42,-0.0100232,-0.000196045,-0.00106424,-0.000108152,95.6982
0.8,0.43,-0.00702206,-0.000320019,-0.000806361,-0.000144125,94.9449
0.8,0.44,-0.00379388,-0.000431576,-0.000512116,-0.000179946,94.2681
0.8,0.45,-0.000332131,-0.000527965,-0.000178899,-0.000214925,93.6634
0.8,0.46,0.00336859,-0.000606213,0.000195856,-0.000248255,93.1265
0.8,0.47,0.0073176,-0.000663129,0.000615457,-0.000278998,92.6536
0.8,0.48,0.0115208,-0.000695243,0.00108282,-0.000306065,92.241
0.8,0.49,0.0159853,-0.00069882,0.00160122,-0.000328198,91.8855
0.8,0.5,0.0207187,-0.000669829,0.00217413,-0.000343954,91.5842
0.8,0.51,0.0257285,-0.000603923,0.00280516,-0.000351679,91.3341
0.8,0.52,0.0310226,-0.000496408,0.00349814,-0.000349489,91.1326
0.8,0.53,0.0366086,-0.00034223,0.00425704,-0.000335246,90.9774
0.8,0.54,0.0424948,-0.000135943,0.00508598,-0.000306536,90.8662
0.8,0.55,0.048689,0.000128301,0.00598924,-0.000260649,90.7967
0.8,0.56,0.0551993,0.000456764,0.00697118,-0.00019456,90.7671
0.8,0.57,0.0620337,0.000856133,0.00803626,-0.000104922,90.7755
0.8,0.58,0.0691999,0.0013335,0.00918898,1.19451e-05,90.8201
