R,a0,a2,a4,b3,b5,E
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.82,0.24,0.0148782,-0.00416882,-0.0149152,0.0355192,428.083
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.83,0.24,0.0137863,-0.00400045,-0.0109214,0.0344839,408.011
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.84,0.24,0.0124229,-0.00379514,-0.00710642,0.0332448,386.038
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.85,0.24,0.0108448,-0.0035646,-0.00447007,0.0318759,363.657
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.86,0.24,0.00918105,-0.00333068,-0.00299298,0.0305401,343.04
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.87,0.24,0.00746202,-0.00309985,-0.00212569,0.0292878,324.566
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.88,0.24,0.00568452,-0.00287332,-0.00156069,0.0281165,307.985
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.89,0.24,0.00384876,-0.00265207,-0.00116139,0.0270162,293.019
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.9,0.24,0.00196127,-0.00243703,-0.000863367,0.0259775,279.438
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.91,0.24,3.26251e-05,-0.00222879,-0.00063331,0.0249918,267.052
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.92,0.23,0.0136364,-0.00341302,-0.0133064,0.0339834,400.568
0.92,0.24,-0.00192494,-0.00202745,-0.000452433,0.0240511,255.698
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.93,0.23,0.0126986,-0.00327709,-0.00971762,0.0330825,384.326
0.93,0.24,-0.00389923,-0.00183262,-0.000309332,0.0231483,245.238
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.94,0.23,0.0115239,-0.00311194,-0.00627695,0.0319986,366.331
0.94,0.24,-0.00587914,-0.00164346,-0.000196627,0.0222763,235.552
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.95,0.23,0.0101586,-0.00292701,-0.00392401,0.0308004,347.851
0.95,0.24,-0.00785525,-0.00145882,-0.000109281,0.0214287,226.536
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.96,0.23,0.00872192,-0.00273937,-0.00262636,0.0296324,330.739
0.96,0.24,-0.00982002,-0.00127731,-4.37135e-05,0.0205993,218.101
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.97,0.23,0.00724395,-0.00255363,-0.00187152,0.0285362,315.316
0.97,0.24,-0.0117677,-0.00109742,2.69531e-06,0.0197824,210.172
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.98,0.23,0.00572213,-0.00237053,-0.00138145,0.0275086,301.384
0.98,0.24,-0.0136943,-0.000917583,3.18905e-05,0.0189724,202.683
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.99,0.23,0.00415476,-0.00219071,-0.00103439,0.0265413,288.73
0.99,0.24,-0.0155972,-0.000736185,4.53157e-05,0.0181637,195.579
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,0.23,0.00254462,-0.00201494,-0.000773291,0.0256266,277.18
1,0.24,-0.0174751,-0.000551617,4.402e-05,0.017351,188.813
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1.01,0.23,0.000897741,-0.00184382,-0.000568799,0.0247579,266.594
1.01,0.24,-0.0193278,-0.000362262,2.87206e-05,0.0165287,182.346
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1.02,0.23,-0.000778052,-0.0016777,-0.000404505,0.0239293,256.849
1.02,0.24,-0.0211561,-0.000166478,-1.62936e-07,0.0156909,176.143
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1.03,0.23,-0.00247433,-0.00151662,-0.000270583,0.0231354,247.843
1.03,0.24,-0.0229617,3.74313e-05,-4.25019e-05,0.0148311,170.179
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1.04,0.23,-0.0041829,-0.00136029,-0.000160783,0.022371,239.484
1.04,0.24,-0.0247473,0.000251263,-9.84776e-05,0.0139422,164.43
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1.05,0.22,0.0117233,-0.00266322,-0.0088058,0.0316257,363.988
1.05,0.23,-0.00589634,-0.00120814,-7.09186e-05,0.0216315,231.695
1.05,0.24,-0.0265161,0.000476985,-0.000168634,0.0130153,158.88
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1.06,0.22,0.0107232,-0.00253251,-0.00569074,0.0306933,349.493
